#NSGA2
popsize 50
maxGen 30
numVar 5
numObj 2
numCons 1
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 30
currentGen	1
evaluateCount	50
totalTime	582.419
firstFrontCount	4
frontCount	6
avgEvalTime	11.6474
#end
Var1	Var2	Var3	Var4	Var5	Obj1	Obj2	Cons1	
2	1	1	4	3	1e+06	2	0	
2	2	1	3	2	-2.83998e+10	9.5951e-07	0	
2	4	1	4	2	-2.84879e+10	1.1854e-06	0	
3	6	1	6	1	1e+06	2	0	
2	1	1	2	2	1e+06	2	0	
2	2	1	2	3	-2.8422e+10	9.3882e-07	0	
2	2	1	4	4	1e+06	2	0	
2	6	1	2	5	-2.93274e+10	1.3135e-06	0	
3	4	1	3	4	1e+06	2	0	
2	4	1	4	6	-2.84879e+10	1.1854e-06	0	
2	1	1	6	3	1e+06	2	0	
1	2	1	7	6	1e+06	2	0	
3	5	1	2	2	1e+06	2	0	
2	3	1	7	3	1e+06	2	0	
2	3	1	3	5	1e+06	2	0	
2	3	1	6	2	1e+06	2	0	
2	1	1	3	3	1e+06	2	0	
2	3	1	7	2	1e+06	2	0	
2	1	1	5	2	1e+06	2	0	
2	5	1	2	5	1e+06	2	0	
3	2	1	5	5	1e+06	2	0	
2	2	1	5	3	1e+06	2	0	
2	6	1	4	4	1e+06	2	0	
3	5	1	5	3	1e+06	2	0	
2	5	1	2	2	1e+06	2	0	
2	1	1	3	2	1e+06	2	0	
1	3	1	3	3	1e+06	2	0	
2	6	1	1	2	-3.23176e+10	1.2884e-06	0	
2	2	1	2	5	-2.8428e+10	9.3882e-07	0	
2	6	1	2	5	-2.93274e+10	1.3135e-06	0	
1	1	1	5	1	1e+06	2	0	
1	1	1	5	2	1e+06	2	0	
3	4	1	3	4	1e+06	2	0	
3	4	1	4	3	-2.8491e+10	1.1854e-06	0	
2	4	1	2	3	-2.90687e+10	1.1125e-06	0	
2	6	1	4	6	1e+06	2	0	
2	4	1	6	3	1e+06	2	0	
3	4	1	1	1	-3.05353e+10	1.0899e-06	0	
3	2	1	3	2	-2.83998e+10	9.5951e-07	0	
2	7	1	7	5	1e+06	2	0	
2	4	1	1	3	-3.06236e+10	1.0899e-06	0	
2	6	1	6	6	1e+06	2	0	
3	6	1	3	2	1e+06	2	0	
3	6	1	4	5	1e+06	2	0	
3	2	1	6	1	-2.87606e+10	1.023e-06	0	
1	4	1	6	5	1e+06	2	0	
2	6	1	2	4	-2.93094e+10	1.3135e-06	0	
2	7	1	3	5	1e+06	2	0	
2	2	1	4	2	1e+06	2	0	
2	7	1	6	5	1e+06	2	0	



#Generation 2 / 30
currentGen	2
evaluateCount	100
totalTime	1112.43
firstFrontCount	7
frontCount	9
avgEvalTime	10.5747
#end
Var1	Var2	Var3	Var4	Var5	Obj1	Obj2	Cons1	
2	6	1	1	2	-3.23176e+10	1.2884e-06	0	
2	2	1	2	5	-2.8428e+10	9.3882e-07	0	
2	4	1	1	3	-3.06236e+10	1.0899e-06	0	
2	1	1	1	6	-2.59164e+10	8.2992e-07	0	
3	2	1	6	2	-2.87725e+10	1.023e-06	0	
2	6	1	1	6	-3.23176e+10	1.2884e-06	0	
1	2	1	6	2	-2.87725e+10	1.023e-06	0	
2	2	1	2	3	-2.8422e+10	9.3882e-07	0	
3	4	1	1	1	-3.05353e+10	1.0899e-06	0	
3	2	1	6	1	-2.87606e+10	1.023e-06	0	
3	6	1	1	1	-3.22823e+10	1.2884e-06	0	
2	2	1	2	3	-2.8422e+10	9.3882e-07	0	
2	2	1	6	1	-2.87606e+10	1.023e-06	0	
2	4	1	2	3	-2.90687e+10	1.1125e-06	0	
2	4	1	2	3	-2.90687e+10	1.1125e-06	0	
2	4	1	2	3	-2.90687e+10	1.1125e-06	0	
2	6	1	1	3	-3.22817e+10	1.2884e-06	0	
2	2	1	3	3	-2.8401e+10	9.5951e-07	0	
2	4	1	2	3	-2.90687e+10	1.1125e-06	0	
2	2	1	3	2	-2.83998e+10	9.5951e-07	0	
2	6	1	2	5	-2.93274e+10	1.3135e-06	0	
2	6	1	2	5	-2.93274e+10	1.3135e-06	0	
3	2	1	3	2	-2.83998e+10	9.5951e-07	0	
3	3	1	5	2	-2.85903e+10	1.1128e-06	0	
2	2	1	3	2	-2.83998e+10	9.5951e-07	0	
2	3	1	5	4	-2.85903e+10	1.1128e-06	0	
2	6	1	2	4	-2.93094e+10	1.3135e-06	0	
2	3	1	5	3	-2.85884e+10	1.1128e-06	0	
2	3	1	5	3	-2.85884e+10	1.1128e-06	0	
2	3	1	5	5	-2.85884e+10	1.1128e-06	0	
3	4	1	4	3	-2.8491e+10	1.1854e-06	0	
2	4	1	4	3	-2.8491e+10	1.1854e-06	0	
2	4	1	4	2	-2.84879e+10	1.1854e-06	0	
2	4	1	4	6	-2.84879e+10	1.1854e-06	0	
2	4	1	4	2	-2.84879e+10	1.1854e-06	0	
2	4	1	4	2	-2.84879e+10	1.1854e-06	0	
2	4	1	4	2	-2.84879e+10	1.1854e-06	0	
3	5	1	3	4	-2.83448e+10	1.2476e-06	0	
2	5	1	5	4	1e+06	2	0	
3	7	1	3	3	1e+06	2	0	
2	5	1	7	2	1e+06	2	0	
3	4	1	7	2	1e+06	2	0	
2	3	1	2	1	1e+06	2	0	
2	1	1	4	2	1e+06	2	0	
2	7	1	3	2	1e+06	2	0	
2	1	1	5	5	1e+06	2	0	
3	3	1	2	5	1e+06	2	0	
3	1	1	6	1	1e+06	2	0	
2	1	1	4	2	1e+06	2	0	
2	4	1	5	6	1e+06	2	0	



#Generation 3 / 30
currentGen	3
evaluateCount	150
totalTime	85167.8
firstFrontCount	8
frontCount	7
avgEvalTime	1681.09
#end
Var1	Var2	Var3	Var4	Var5	Obj1	Obj2	Cons1	
2	6	1	1	2	-3.23176e+10	1.2884e-06	0	
2	4	1	1	3	-3.06236e+10	1.0899e-06	0	
2	1	1	1	6	-2.59164e+10	8.2992e-07	0	
2	6	1	1	6	-3.23176e+10	1.2884e-06	0	
2	4	1	1	3	-3.06236e+10	1.0899e-06	0	
2	2	1	1	5	-2.91206e+10	9.2209e-07	0	
2	4	1	1	3	-3.06236e+10	1.0899e-06	0	
2	3	1	1	6	-2.96059e+10	1.0022e-06	0	
3	4	1	1	1	-3.05353e+10	1.0899e-06	0	
